Year,State,County,Observed
2006.0,Alabama,Limestone,"I had purchased a fence for my cats and my husband and I had spent most of the day putting it up .We stopped working on it that evening so we could have time to feed the animals-horses,dogs chickens and cats- before dark . By the time we were finished feeding everything it was dark but I had decided to run a cord with a light on it out to the fence and work on it a while longer adding more clips to it . The local high school is about 1 or 1 1/2 miles from our house and they were having a tractor pull that night and I could hear the noise from the tractors .Other than that, it was quiet out . The fence is out close to the barn which has a security light on it . With that light and the light on the cord that I had hanging from one of the tall fence post, the area where I was working was well lit . I had been working for about 2 hours when I heard a noise coming from the woods to my left about 100 or 150 yards away . There is a deer trail that runs through the woods there and the noise I heard sounded like something had caught a deer . I continued putting clips on the fence, not thinking anything else about the noise I had heard and about 25 or 30 minutes later at about 100 yards up from the place I had heard the first noise, I heard something make a loud hollering howling sound . Not wanting to believe what I heard, I told myself that it had to have been the neighbors dog . They have a huge dog that has a hoarse bark . Anyway, I decided it was time for me to go inside . I gathered up my tools and just as I was about to get on the four wheeler, I heard it holler,howl again . This time the sound came from the area where I had heard the first noise, that sounded like the deer had been caught . I didn't take time to turn the four wheeler around . I backed it all the way back to the house, right up to the back door .I jumped off, ran in and locked the door .I was shaking so bad I could barely stand . It was like I was having a nightmare, I couldn't believe what I had heard . I told my husband and we went back out with the gun but we didn't hear anything . I knew what I had heard sounded like the sound the bigfoot made on the programs I had watched on TV and at first I even thought I was crazy for even thinking that that's what it could have been and Iv'e tried my best to convince myself there's no way it could have been a bigfoot but it hasn't worked . My husband keeps saying that he believes I had heard something and that there's a good explanation for it because there's no such thing as a bigfoot . He hasn't been able to give me a good one yet . I have called the local game warden and tried to mimic the sound  I had heard asking him if he knew of any animal in this area that would make this sound and he said no . He did say that the only thing he could think of might be some sort of canine - a coyote or if it was more of a high pitched sound it might be a fox . Please believe me this was no coyote, no fox, no small animal could make a sound like the one I heard . It was 100 or 150 yards away and it sounded like it was standing right behind me . I could tell that it was coming from something very large because of the power behind the sound and the sound it's self was like a loud Ahoooooooo .There's no way anyone could have been in the woods faking this . It was real . This experience has affected me big time . My doors are closed and locked  now day and night - I don't think a locked door would stop it, but I lock them anyway . If I'm at home alone during the day and I need to go outside for anything, I carry a gun with me . Under no circumstances do I go outside at night now . I'm afraid to sleep at night . I'm scared to death here now . I don't know for a fact that what I heard was a big foot but I believe with everything inside me that it was . When I found this sight on the internet and listened to the sounds that had been recorded, I swear to you, I started shaking all over again . It sounded exactly like what I had heard-  Exactly-  except what I heard was very close to  me. This is the bad part of it all - When I called the game warden to tell him what I had heard and ask if there was any animal here that could make this sound, he said some sort of canine maybe . I said ""No Sure, it wasn't any kind of dog or coyote or fox or crane - ( which is what my husband said it could have been-but no it was no crane . I've heard cranes before and they do make a scary sound, but it wasn't a crane.) or any kind of cat , I've never heard anything make a sound like I had heard in real life before. ) He then ask "" what did it sound like?"" I hesitated for a second or two  before  I said "" A Bigfoot "" He said back to me  ""well, like said it could be some sort of canine or something like that."" When he said that, I started crying - I couldn't help myself, I cried and told him that this was no joke that I was serious and that I was scared to death now . I believe he was thinking he had real nut case on the phone crying, telling him how scared she was cause she heard a BIGFOOT in the woods behind her house. I think he got a good laugh out of it anyway . Please believe me every word I've put down on this page is true . There is something in the woods behind my house that hollers, howls and I'm very scared of what it could be . I didn't see what it was and I pray to God that I never do, I did hear it and I also pray to God that I won't hear it again . But with God as my witness this is true . One more thing I would like to say that I have wondered about."
2007.0,Alabama,Macon,"We was walking through the woods in Tuskegee, Alabama in the Tuskegee National Forest going duck hunting, while we were walking we stopped for a quick minute to rest and i looked up and seen something flash before my eyes, as we got to our destination at the swamp. We looked to our left and saw something walking accross the beaver dam. We do not believe it acknowledged our prescence. We would describe it as a tall, wide, black from head to toe creature walking upright on two legs trying to quickly get in to the woods. Also looked like as if he were carring a large object in one hand. It was time to go after that. The hunt was over."
2009.0,Alabama,Madison,"I was staying at the Marriott hotel 6th floor in Huntsville Alabama at the Space and Rocket Center-At 5:40am on Feb 24th 2009 I went on the balcony to drink my coffee as the room was too stuffy and hot.  I was out there just thinking and staring off at the woods when something caught my eye--after refocusing on it I realized there were legs, then arms, then I could clearly make out his face.  The creature stood 6-7ft tall and was staring directly back at me-it seemed to have fine hairs all over -grey color hair that got more black as the hair got closer to the skin--the tips of the hair were much lighter--the face (lips, eye lids, etc) were more of a very dark brown-it stood very erect, was very muscular, and did not seem to have the apelike protruding mouth and nose but more flat faced human like--after 30 seconds he started rocking back and forth--I then realized this was moving and could in no way be mistaken for a dear or bear or anything else--this was a fully erect apelike animal that seemed to want me see him --he was rocking back and forth from side to side.  After the initial 30 seconds he rocked for about 10-12 seconds then stood and stared at me --I was on the 6th floor about 120 yards away in decent lighting due to hotel lights and street light behind loading area of hotel-he then would stare back then he would remain face forward with feet only about 2 feet apart would lean over to his left with his right arm would start pulling bark off a very large pine tree--it looked as if someone were in a sawing position--then he would stand up stare at me then rock and then pull bark--this was done in that order 3 times over a 5-6 minute period--after five minutes of re-verifying what I was looking at I felt this creature was docile and smooth moving--I decided I would try and get a closer look--as I opened the sliding glass door he stared and I stared back--I ran out of the hotel room and there was security in our hall laying the morning news at the hotel room doors--I asked him to come with me and asked for back up since he had no gun--we ran around the corner outside - as we were running I Finally got the nerves to tell them what I saw--we get to the reference points I had chosen and there were a lot of fresh bark removed from the large pine tree--I tried to pull bark from it to no avail -- it was too hard--I am 6'4"" 300 lbs.  I went back after 7am (light) -- I did notice what looked like scat --it took the form of explosive diarrhea and looked like a hundred birds had pooped in a small area--like in a shotgun pattern-heavy in the middle and lighter to the outside perimeter-I put a large handful in a Marriott laundry plastic bag--It looks like feces and digested berries and seeds. (It was dry although it had rained the night before)  One of the Marriott employee's saw two large footprints --more like deep indention's in the pine straw--I took off my shoe and placed my foot in it and there was about a one inch area all the way around my foot in order to fill the indention--Something very heavy had to make these indention's--I tried and I am 300lbs and could not.  I am 100% positive of the above discription--I watched this clearly for 5-6 minutes!"
2012.0,Alabama,Monroe,"My wife and myself were visiting her mother in south Alabama shortly before moving to Florida.  At approx. 0100-0200 I was was voluntold to get our bags out of the car since we hadn't brought them in.  The car was about 30 ft from the bottom of the ramp on the back porch and 20 ft from the north end of the car port (which is mostly open, except for a single partially closed in section on the north end).  The night was dead silent with no wind. Upon reaching the bottom of the ramp I began to turn to my right towards the car when I heard what can only be described as similar to a bull snorting mixed with a grunt.  I immediately turned towards the location of the sound, the back of the carport, and drew my sidearm.  Due to a light on in the carport being pointed directly at me, I could not see what it was, but a shape.  I had a small flashlight on me and pointed it at the thing.  It didn't help much due to the light being in my eyes, but I was able to make out a creature bigger than me and at least 3 ft across at the shoulder. It made the sound again, but didn't move. I called out to it, thinking it was a person, but no response.  After what felt like a few minutes, it made the sound again and seemed to get shorter. I began to move to my right towards the car to retrieve a rifle I kept in there and the thing moved to my left, so that we effectively circled each other until it reached the end of the carport on the south end.  I reached the car and without turning, retrieved my rifle.  As i pulled it out, the creature turned towards the woodline at the back of the property and seemed to either slowly run or quickly walk into the brush.  i took this time to go back into the house and get a better flashlight.  I came back out maybe 5 minutes later after finding one, to find nothing.  The guard dog had reappeared and you could hear various insects around."
2012.0,Alabama,Morgan,My sighting happened last summer. I was kayaking down a creek. It was about the middle of the day. I was comin down the creek. The creek I was coming down is deep in some parts and shallow in some. There are always deer and turkey moving through. When I came around the curve in the creek a splash happened right in front of me. I thought it may have been a fish. So I kept paddling. Then three more splashes hit by me. The last splash I saw it was a rock. So I slowed down in the creek to look. I started looking in the direction the rocks came from. It was sitting on its knees like a person would. Then it stood up. When it stood up. The hair on back of my neck did. Me and it made eye contact for around 30 seconds. It turned and started running through the woods. I've seen and heard people run through the woods. Its stride was wider than any humans. When it ran it didn't bother dogging sticks and stuff. It just ran through the brush. After that I turned around and started paddling back to my truck. I went back down there that night to see if I could spot light it. I done a howl and waited to see if it would respond. But than I heard two knocks back to back. I knocked on a tree. It knocked back at me. But it was off in the distance. So I couldn't see it.
2008.0,Alabama,Morgan,My son has convinced me to contact you. I will tell your organization of our encounters. On November 28 2008 I was visiting a friends house in Lacey's Spring Alabama. His house is in a small middle class  neighborhood with mountains and woods that stretch for miles behind his home. I woke up to use the bathroom at about 4:00AM and had just laid back down when I began to hear loud vocalizations. The sounds where very similar to the Ohio and Mississippi recordings. I was inside the house and his heating unit was running so they must have been very loud outside. I got up and went out on his back deck but by the time I got there they had stopped. I listened for about 10 minutes and heard nothing. The heating unit was next to the deck and was quite loud so I decided to go back inside. About the time I started
2004.0,Alabama,Shelby,"I was coming home from work, turning off a major 4 lane hiway.  After aproximately 1/4 mile, near a new subdivision, I saw something moving very fast, as it ran across the hiway in front of my car."
2007.0,Alabama,St. Clair,"We were riding along cherokee road in Prescot, a comunity near Moody Al.when rounding a curve we saw what looked like an ape man but humanlike exept for the hair,which was all matted and black.it was about 7ft tall and had long arms my wife and I turned around but it was gone."
2005.0,Alabama,St. Clair,"My brother-in-law and myself were walking along a creekbank in rural St.Clair Co. Alabama and we stumbled upon a print that we weren't sure what it was. It looked like a human foot.The print was about a size 9 or 10 in shoe sizes but only about 3 1/2"" wide and was approx. 2-3 deep in the dirt. I tried to replicate the depth with my foot but I had to stomp in the dirt with the heel of my boot to replicate the depth of the print. The print was not a bear or any other wildlife that we have seen in the woods as we are avid hunters. There were 2 prints,1 looked like it was walking out of the creek and stepped up on the bank with just the ball of its foot, then the track beside it was a full print as decribed before."
2005.0,Alabama,Talladega,"Every year me and a group of my friends camp in cheaha state park. Year before last, we where sitting outside our tent around the camp fire and it was about 11:00 at night. We where the ONLY ones in that camp site, so it was very quiet. We started to hear stange low noises almost like an old chainsaw trying to crank. Following that was a very high pitch humming noise. The sound was getting closer and closer. We took out our spot light and scanned the woods. What we saw was very disturbing....it appeared to be an up right figure, that was hairy and had a grey tent to its fure. It was standing behind a tree and was slightly hunching over, like it was hiding from us. We could see its back bowing out of the right side of the tree and its head coming out of the left. Theirs no doubt in my mind that it was an ape-like creature. It stood still for about 30 to 60 seconds. Then we decided to take the light off of it, to maybe see if it would move....about 10 seconds later we turned the light back on and it was gone! The next night we heard two seperate creatures but neither showed up."
2012.0,Alabama,Tuscaloosa,"I live in Tuscaloosa Alabama in the Yellow Creek Community  ... My husband and I have heard screams in the woods from some kind of animal that is so loud and it has a long guttural yell that sounds like a man... We have never heard anything like this. This has been going on now for three weeks in March 2012, almost every night just about 8:30, or right before it getting dark. Then it stops for about a month, and now it has started back up again. I have lived in the country all my life and I am 52 and my husband is 66 years old. We are not a bunch of kids making these things up. I know what cougars, coyotes, bears and wolves all sound like. We have never heard anything like this in the woods before... Other then fourteen years ago, my son who is in the Army and still is to this day. He and I were sitting outside one night at 11:00 talking... We heard the same thing yell out then... It came from behind my house and it yells out in that long guttural yell three times and after the third time it sounded like there was 50 or more coyotes were surrounding us and they stated yapping like crazy. ... The recent sounds are coming between my Grandfather's old house place and my home... It is about a 1/2 mile away. We have a huge lake behind us and nothing but woods... My grandfather has some old abandoned gravel pits and lakes close by too.. There is a swamp in front of our home about 1/4 mile away. I was also told when I was a child that back in the 1930s my grandfather went through the gravel pit one night ... He saw something setting on a hill that looked like a huge hairy thing that had a face like a man.... This was before all the media hype from the Patterson films.. I need help because this thing is getting closer to our home. My husband doesn't have good hearing and he said he could hear it upstairs one night and it sounded like it was in the yard. We have animals, Cattle and Donkeys here we don't know whether to shoot at the sounds from where it is coming from or what... On March 31, 2012, it sounded like it was right down at the bottom of the holler right past our fence ... It sounded like TWO of whatever this thing is, was mad and was yelling at us. I got so scared I took off running into the house.... I have never been so frightened in my life, and believe me when I say I go outside a lot at night by myself I really do, we have a huge wraparound porch   I love to listen to the owls and whippoorwill at night but nothing like this has ever happen to me before.... Last week I went to put my puppy up for the night in our garage then I heard whatever this thing is, let out a scream, I called for my husband to come home it was back. When he got here we heard it growl. It came from the same area as before. Like I said before we heard it just about every night for 3 ½ weeks and then nothing That night I told my husband HE BACK! Then the next night we heard it again but this time down in front our house down at the swamp. For the past 2 years people have stripped cut thousands of acreage of land all around here and a lot of animals have migrated around here. My father didnt have his timber cut and he has a large amount of land and we live in the middle of it. We have no one who lives by us. I e-mail you at BFRO in March and I have been talking with one of your investigators."
